,Cost Item,Suggested Monthly Cost (RM) - Northern,Suggested Monthly Cost (RM) - Sourthern,Suggested Monthly Cost (RM) - East Coast,Suggested Monthly Cost (RM) - Central,Suggested Monthly Cost (RM) - Sabah,Suggested Monthly Cost (RM) - Sarawak,Allocation Method
,Warehouse Size (sqft)," 5,500 "," 7,000 "," 6,000 "," 10,000 "," 8,000 "," 8,000 ",NA
,Rental Rate (sqft), 2.20 , 2.60 , 2.00 , 3.00 , 2.80 , 2.70 ,NA
,Estimated Monthly Rental," 12,100 "," 18,200 "," 12,000 "," 30,000 "," 22,400 "," 21,600 ",Per Parcel
,Utilities (Electricity & Water)," 5,000 "," 5,000 "," 5,000 "," 5,000 "," 5,000 "," 5,000 ",Per Parcel
,Internet, 500 , 500 , 500 , 500 , 500 , 500 ,Per Parcel
,Warehouse Insurance," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 "," 1,000 ",Per Parcel
,Security," 8,000 "," 8,000 "," 8,000 "," 8,000 "," 8,000 "," 8,000 ",Per Parcel
,Cleaning & Maintenance," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 "," 2,000 ",Per Parcel
,Pest Control, 500 , 500 , 500 , 500 , 500 , 500 ,Per Parcel
,Forklift Maintenance," 1,000 "," 1,000 "," 1,000 "," 1,500 "," 1,000 "," 1,000 ",Per Parcel
