Vehicle ID,Vehicle Type,Category,Fuel Type,Max Weight (kg),Max Volume (m³),Max Parcels,Avg Speed (km/h),State,Region Availability,Average Parcel Per Item,Status
MC001,Motorcycle,Road,Petrol,30,0.15,60,60,Perlis,Peninsular,0.5,Active
MC002,Motorcycle,Road,Petrol,30,0.15,60,60,Perlis,Peninsular,0.5,Active
MC003,Motorcycle,Road,Petrol,30,0.15,60,60,Perlis,Peninsular,0.5,Active
MC004,Motorcycle,Road,Petrol,30,0.15,60,60,Perlis,Peninsular,0.5,Active
MC005,Motorcycle,Road,Petrol,30,0.15,60,60,Perlis,Peninsular,0.5,Active
MC006,Motorcycle,Road,Petrol,30,0.15,60,60,Kedah,Peninsular,0.5,Active
MC007,Motorcycle,Road,Petrol,30,0.15,60,60,Kedah,Peninsular,0.5,Active
MC008,Motorcycle,Road,Petrol,30,0.15,60,60,Kedah,Peninsular,0.5,Active
MC009,Motorcycle,Road,Petrol,30,0.15,60,60,Kedah,Peninsular,0.5,Active
MC010,Motorcycle,Road,Petrol,30,0.15,60,60,Kedah,Peninsular,0.5,Active
MC011,Motorcycle,Road,Petrol,30,0.15,60,60,Kedah,Peninsular,0.5,Active
MC012,Motorcycle,Road,Petrol,30,0.15,60,60,Kedah,Peninsular,0.5,Active
MC013,Motorcycle,Road,Petrol,30,0.15,60,60,Kedah,Peninsular,0.5,Active
MC014,Motorcycle,Road,Petrol,30,0.15,60,60,Kedah,Peninsular,0.5,Active
MC015,Motorcycle,Road,Petrol,30,0.15,60,60,Kedah,Peninsular,0.5,Active
MC016,Motorcycle,Road,Petrol,30,0.15,60,60,Kedah,Peninsular,0.5,Active
MC017,Motorcycle,Road,Petrol,30,0.15,60,60,Kedah,Peninsular,0.5,Active
MC018,Motorcycle,Road,Petrol,30,0.15,60,60,Kedah,Peninsular,0.5,Active
MC019,Motorcycle,Road,Petrol,30,0.15,60,60,Kedah,Peninsular,0.5,Active
MC020,Motorcycle,Road,Petrol,30,0.15,60,60,Kedah,Peninsular,0.5,Active
MC021,Motorcycle,Road,Petrol,30,0.15,60,60,Kedah,Peninsular,0.5,Active
MC022,Motorcycle,Road,Petrol,30,0.15,60,60,Kedah,Peninsular,0.5,Active
MC023,Motorcycle,Road,Petrol,30,0.15,60,60,Kedah,Peninsular,0.5,Active
MC024,Motorcycle,Road,Petrol,30,0.15,60,60,Kedah,Peninsular,0.5,Active
MC025,Motorcycle,Road,Petrol,30,0.15,60,60,Kedah,Peninsular,0.5,Active
MC026,Motorcycle,Road,Petrol,30,0.15,60,60,Pulau Pinang,Peninsular,0.5,Active
MC027,Motorcycle,Road,Petrol,30,0.15,60,60,Pulau Pinang,Peninsular,0.5,Active
MC028,Motorcycle,Road,Petrol,30,0.15,60,60,Pulau Pinang,Peninsular,0.5,Active
MC029,Motorcycle,Road,Petrol,30,0.15,60,60,Pulau Pinang,Peninsular,0.5,Active
MC030,Motorcycle,Road,Petrol,30,0.15,60,60,Pulau Pinang,Peninsular,0.5,Active
MC031,Motorcycle,Road,Petrol,30,0.15,60,60,Pulau Pinang,Peninsular,0.5,Active
MC032,Motorcycle,Road,Petrol,30,0.15,60,60,Pulau Pinang,Peninsular,0.5,Active
MC033,Motorcycle,Road,Petrol,30,0.15,60,60,Pulau Pinang,Peninsular,0.5,Active
MC034,Motorcycle,Road,Petrol,30,0.15,60,60,Pulau Pinang,Peninsular,0.5,Active
MC035,Motorcycle,Road,Petrol,30,0.15,60,60,Pulau Pinang,Peninsular,0.5,Active
MC036,Motorcycle,Road,Petrol,30,0.15,60,60,Pulau Pinang,Peninsular,0.5,Active
MC037,Motorcycle,Road,Petrol,30,0.15,60,60,Pulau Pinang,Peninsular,0.5,Active
MC038,Motorcycle,Road,Petrol,30,0.15,60,60,Pulau Pinang,Peninsular,0.5,Active
MC039,Motorcycle,Road,Petrol,30,0.15,60,60,Pulau Pinang,Peninsular,0.5,Active
MC040,Motorcycle,Road,Petrol,30,0.15,60,60,Pulau Pinang,Peninsular,0.5,Active
MC041,Motorcycle,Road,Petrol,30,0.15,60,60,Pulau Pinang,Peninsular,0.5,Active
MC042,Motorcycle,Road,Petrol,30,0.15,60,60,Pulau Pinang,Peninsular,0.5,Active
MC043,Motorcycle,Road,Petrol,30,0.15,60,60,Pulau Pinang,Peninsular,0.5,Active
MC044,Motorcycle,Road,Petrol,30,0.15,60,60,Pulau Pinang,Peninsular,0.5,Active
MC045,Motorcycle,Road,Petrol,30,0.15,60,60,Pulau Pinang,Peninsular,0.5,Active
MC046,Motorcycle,Road,Petrol,30,0.15,60,60,Perak,Peninsular,0.5,Active
MC047,Motorcycle,Road,Petrol,30,0.15,60,60,Perak,Peninsular,0.5,Active
MC048,Motorcycle,Road,Petrol,30,0.15,60,60,Perak,Peninsular,0.5,Active
MC049,Motorcycle,Road,Petrol,30,0.15,60,60,Perak,Peninsular,0.5,Active
MC050,Motorcycle,Road,Petrol,30,0.15,60,60,Perak,Peninsular,0.5,Active
MC051,Motorcycle,Road,Petrol,30,0.15,60,60,Perak,Peninsular,0.5,Active
MC052,Motorcycle,Road,Petrol,30,0.15,60,60,Perak,Peninsular,0.5,Active
MC053,Motorcycle,Road,Petrol,30,0.15,60,60,Perak,Peninsular,0.5,Active
MC054,Motorcycle,Road,Petrol,30,0.15,60,60,Perak,Peninsular,0.5,Active
MC055,Motorcycle,Road,Petrol,30,0.15,60,60,Perak,Peninsular,0.5,Active
MC056,Motorcycle,Road,Petrol,30,0.15,60,60,Perak,Peninsular,0.5,Active
MC057,Motorcycle,Road,Petrol,30,0.15,60,60,Perak,Peninsular,0.5,Active
MC058,Motorcycle,Road,Petrol,30,0.15,60,60,Perak,Peninsular,0.5,Active
MC059,Motorcycle,Road,Petrol,30,0.15,60,60,Perak,Peninsular,0.5,Active
MC060,Motorcycle,Road,Petrol,30,0.15,60,60,Perak,Peninsular,0.5,Active
MC061,Motorcycle,Road,Petrol,30,0.15,60,60,Perak,Peninsular,0.5,Active
MC062,Motorcycle,Road,Petrol,30,0.15,60,60,Perak,Peninsular,0.5,Active
MC063,Motorcycle,Road,Petrol,30,0.15,60,60,Perak,Peninsular,0.5,Active
MC064,Motorcycle,Road,Petrol,30,0.15,60,60,Perak,Peninsular,0.5,Active
MC065,Motorcycle,Road,Petrol,30,0.15,60,60,Perak,Peninsular,0.5,Active
MC066,Motorcycle,Road,Petrol,30,0.15,60,60,Selangor,Peninsular,0.5,Active
MC067,Motorcycle,Road,Petrol,30,0.15,60,60,Selangor,Peninsular,0.5,Active
MC068,Motorcycle,Road,Petrol,30,0.15,60,60,Selangor,Peninsular,0.5,Active
MC069,Motorcycle,Road,Petrol,30,0.15,60,60,Selangor,Peninsular,0.5,Active
MC070,Motorcycle,Road,Petrol,30,0.15,60,60,Selangor,Peninsular,0.5,Active
MC071,Motorcycle,Road,Petrol,30,0.15,60,60,Selangor,Peninsular,0.5,Active
MC072,Motorcycle,Road,Petrol,30,0.15,60,60,Selangor,Peninsular,0.5,Active
MC073,Motorcycle,Road,Petrol,30,0.15,60,60,Selangor,Peninsular,0.5,Active
MC074,Motorcycle,Road,Petrol,30,0.15,60,60,Selangor,Peninsular,0.5,Active
MC075,Motorcycle,Road,Petrol,30,0.15,60,60,Selangor,Peninsular,0.5,Active
MC076,Motorcycle,Road,Petrol,30,0.15,60,60,Selangor,Peninsular,0.5,Active
MC077,Motorcycle,Road,Petrol,30,0.15,60,60,Selangor,Peninsular,0.5,Active
MC078,Motorcycle,Road,Petrol,30,0.15,60,60,Selangor,Peninsular,0.5,Active
MC079,Motorcycle,Road,Petrol,30,0.15,60,60,Selangor,Peninsular,0.5,Active
MC080,Motorcycle,Road,Petrol,30,0.15,60,60,Selangor,Peninsular,0.5,Active
MC081,Motorcycle,Road,Petrol,30,0.15,60,60,Selangor,Peninsular,0.5,Active
MC082,Motorcycle,Road,Petrol,30,0.15,60,60,Selangor,Peninsular,0.5,Active
MC083,Motorcycle,Road,Petrol,30,0.15,60,60,Selangor,Peninsular,0.5,Active
MC084,Motorcycle,Road,Petrol,30,0.15,60,60,Selangor,Peninsular,0.5,Active
MC085,Motorcycle,Road,Petrol,30,0.15,60,60,Selangor,Peninsular,0.5,Active
MC086,Motorcycle,Road,Petrol,30,0.15,60,60,WPKL,Peninsular,0.5,Active
MC087,Motorcycle,Road,Petrol,30,0.15,60,60,WPKL,Peninsular,0.5,Active
MC088,Motorcycle,Road,Petrol,30,0.15,60,60,WPKL,Peninsular,0.5,Active
MC089,Motorcycle,Road,Petrol,30,0.15,60,60,WPKL,Peninsular,0.5,Active
MC090,Motorcycle,Road,Petrol,30,0.15,60,60,WPKL,Peninsular,0.5,Active
MC091,Motorcycle,Road,Petrol,30,0.15,60,60,WPKL,Peninsular,0.5,Active
MC092,Motorcycle,Road,Petrol,30,0.15,60,60,WPKL,Peninsular,0.5,Active
MC093,Motorcycle,Road,Petrol,30,0.15,60,60,WPKL,Peninsular,0.5,Active
MC094,Motorcycle,Road,Petrol,30,0.15,60,60,WPKL,Peninsular,0.5,Active
MC095,Motorcycle,Road,Petrol,30,0.15,60,60,WPKL,Peninsular,0.5,Active
MC096,Motorcycle,Road,Petrol,30,0.15,60,60,WPKL,Peninsular,0.5,Active
MC097,Motorcycle,Road,Petrol,30,0.15,60,60,WPKL,Peninsular,0.5,Active
MC098,Motorcycle,Road,Petrol,30,0.15,60,60,WPKL,Peninsular,0.5,Active
MC099,Motorcycle,Road,Petrol,30,0.15,60,60,WPKL,Peninsular,0.5,Active
MC100,Motorcycle,Road,Petrol,30,0.15,60,60,WPKL,Peninsular,0.5,Active
MC101,Motorcycle,Road,Petrol,30,0.15,60,60,WPKL,Peninsular,0.5,Active
MC102,Motorcycle,Road,Petrol,30,0.15,60,60,WPKL,Peninsular,0.5,Active
MC103,Motorcycle,Road,Petrol,30,0.15,60,60,WPKL,Peninsular,0.5,Active
MC104,Motorcycle,Road,Petrol,30,0.15,60,60,WPKL,Peninsular,0.5,Active
MC105,Motorcycle,Road,Petrol,30,0.15,60,60,WPKL,Peninsular,0.5,Active
MC106,Motorcycle,Road,Petrol,30,0.15,60,60,Negeri Sembilan,Peninsular,0.5,Active
MC107,Motorcycle,Road,Petrol,30,0.15,60,60,Negeri Sembilan,Peninsular,0.5,Active
MC108,Motorcycle,Road,Petrol,30,0.15,60,60,Negeri Sembilan,Peninsular,0.5,Active
MC109,Motorcycle,Road,Petrol,30,0.15,60,60,Negeri Sembilan,Peninsular,0.5,Active
MC110,Motorcycle,Road,Petrol,30,0.15,60,60,Negeri Sembilan,Peninsular,0.5,Active
MC111,Motorcycle,Road,Petrol,30,0.15,60,60,Negeri Sembilan,Peninsular,0.5,Active
MC112,Motorcycle,Road,Petrol,30,0.15,60,60,Negeri Sembilan,Peninsular,0.5,Active
MC113,Motorcycle,Road,Petrol,30,0.15,60,60,Negeri Sembilan,Peninsular,0.5,Active
MC114,Motorcycle,Road,Petrol,30,0.15,60,60,Negeri Sembilan,Peninsular,0.5,Active
MC115,Motorcycle,Road,Petrol,30,0.15,60,60,Negeri Sembilan,Peninsular,0.5,Active
MC116,Motorcycle,Road,Petrol,30,0.15,60,60,Negeri Sembilan,Peninsular,0.5,Active
MC117,Motorcycle,Road,Petrol,30,0.15,60,60,Negeri Sembilan,Peninsular,0.5,Active
MC118,Motorcycle,Road,Petrol,30,0.15,60,60,Negeri Sembilan,Peninsular,0.5,Active
MC119,Motorcycle,Road,Petrol,30,0.15,60,60,Negeri Sembilan,Peninsular,0.5,Active
MC120,Motorcycle,Road,Petrol,30,0.15,60,60,Negeri Sembilan,Peninsular,0.5,Active
MC121,Motorcycle,Road,Petrol,30,0.15,60,60,Negeri Sembilan,Peninsular,0.5,Active
MC122,Motorcycle,Road,Petrol,30,0.15,60,60,Negeri Sembilan,Peninsular,0.5,Active
MC123,Motorcycle,Road,Petrol,30,0.15,60,60,Negeri Sembilan,Peninsular,0.5,Active
MC124,Motorcycle,Road,Petrol,30,0.15,60,60,Negeri Sembilan,Peninsular,0.5,Active
MC125,Motorcycle,Road,Petrol,30,0.15,60,60,Negeri Sembilan,Peninsular,0.5,Active
MC126,Motorcycle,Road,Petrol,30,0.15,60,60,Melaka,Peninsular,0.5,Active
MC127,Motorcycle,Road,Petrol,30,0.15,60,60,Melaka,Peninsular,0.5,Active
MC128,Motorcycle,Road,Petrol,30,0.15,60,60,Melaka,Peninsular,0.5,Active
MC129,Motorcycle,Road,Petrol,30,0.15,60,60,Melaka,Peninsular,0.5,Active
MC130,Motorcycle,Road,Petrol,30,0.15,60,60,Melaka,Peninsular,0.5,Active
MC131,Motorcycle,Road,Petrol,30,0.15,60,60,Melaka,Peninsular,0.5,Active
MC132,Motorcycle,Road,Petrol,30,0.15,60,60,Melaka,Peninsular,0.5,Active
MC133,Motorcycle,Road,Petrol,30,0.15,60,60,Melaka,Peninsular,0.5,Active
MC134,Motorcycle,Road,Petrol,30,0.15,60,60,Melaka,Peninsular,0.5,Active
MC135,Motorcycle,Road,Petrol,30,0.15,60,60,Melaka,Peninsular,0.5,Active
MC136,Motorcycle,Road,Petrol,30,0.15,60,60,Melaka,Peninsular,0.5,Active
MC137,Motorcycle,Road,Petrol,30,0.15,60,60,Melaka,Peninsular,0.5,Active
MC138,Motorcycle,Road,Petrol,30,0.15,60,60,Melaka,Peninsular,0.5,Active
MC139,Motorcycle,Road,Petrol,30,0.15,60,60,Melaka,Peninsular,0.5,Active
MC140,Motorcycle,Road,Petrol,30,0.15,60,60,Melaka,Peninsular,0.5,Active
MC141,Motorcycle,Road,Petrol,30,0.15,60,60,Melaka,Peninsular,0.5,Active
MC142,Motorcycle,Road,Petrol,30,0.15,60,60,Melaka,Peninsular,0.5,Active
MC143,Motorcycle,Road,Petrol,30,0.15,60,60,Melaka,Peninsular,0.5,Active
MC144,Motorcycle,Road,Petrol,30,0.15,60,60,Melaka,Peninsular,0.5,Active
MC145,Motorcycle,Road,Petrol,30,0.15,60,60,Melaka,Peninsular,0.5,Active
MC146,Motorcycle,Road,Petrol,30,0.15,60,60,Johor,Peninsular,0.5,Active
MC147,Motorcycle,Road,Petrol,30,0.15,60,60,Johor,Peninsular,0.5,Active
MC148,Motorcycle,Road,Petrol,30,0.15,60,60,Johor,Peninsular,0.5,Active
MC149,Motorcycle,Road,Petrol,30,0.15,60,60,Johor,Peninsular,0.5,Active
MC150,Motorcycle,Road,Petrol,30,0.15,60,60,Johor,Peninsular,0.5,Active
MC151,Motorcycle,Road,Petrol,30,0.15,60,60,Johor,Peninsular,0.5,Active
MC152,Motorcycle,Road,Petrol,30,0.15,60,60,Johor,Peninsular,0.5,Active
