Shipment ID,Shipment Date,Customer,Origin State,Destination State,Service Level,Parcel Type,Weight (kg),Length (cm),Width (cm),Height (cm),Selling Price (RM)
JEN1000000001MY,21-Jul-26,Ahmad,Selangor,WPKL,Economy,Small,1.51,18,13,4,8
JEN1000000002MY,21-Jul-26,Lim,Pahang,Selangor,Economy,Small,1.22,15,10,3,8
JEN1000000003MY,21-Jul-26,Nurul,Penang,Pahang,Economy,Small,1.24,23,13,10,8
JEN1000000004MY,21-Jul-26,Raj,Penang,Kelantan,Economy,Small,1.22,15,12,8,8
JEN1000000005MY,21-Jul-26,Nurul,Perak,Johor,Economy,Small,0.51,20,11,3,8
JEN1000000006MY,21-Jul-26,Lee,Selangor,Sabah,Economy,Small,1.71,24,14,2,8
JEN1000000007MY,21-Jul-26,Tan,Pahang,Selangor,Economy,Small,1.95,21,11,10,8
JEN1000000008MY,21-Jul-26,Tan,Sabah,Penang,Economy,Small,1.44,15,20,5,8
JEN1000000009MY,21-Jul-26,Raj,Selangor,Penang,Economy,Small,1.75,21,14,9,8
JEN1000000010MY,21-Jul-26,Hafiz,Johor,Sabah,Economy,Small,0.78,25,14,3,8
JEN1000000011MY,21-Jul-26,Tan,Johor,Pahang,Economy,Small,1.49,17,17,8,8
JEN1000000012MY,21-Jul-26,Raj,Pahang,Penang,Economy,Small,1.4,15,13,2,8
JEN1000000013MY,21-Jul-26,Lee,Sarawak,Perak,Economy,Small,0.23,24,15,5,8
JEN1000000014MY,21-Jul-26,Aina,Sarawak,Kelantan,Economy,Small,0.37,17,13,10,8
JEN1000000015MY,21-Jul-26,Siti,Perak,Sarawak,Economy,Small,1.81,21,15,5,8
JEN1000000016MY,21-Jul-26,Siti,Pahang,Kelantan,Economy,Small,0.27,15,11,4,8
JEN1000000017MY,21-Jul-26,Tan,Sarawak,Selangor,Economy,Small,0.83,24,17,10,8
JEN1000000018MY,21-Jul-26,Tan,Pahang,WPKL,Economy,Small,1.39,16,20,10,8
JEN1000000019MY,21-Jul-26,Tan,Sabah,Selangor,Economy,Small,0.66,17,17,2,8
JEN1000000020MY,21-Jul-26,Aina,Pahang,Johor,Economy,Small,1.06,16,20,6,8
JEN1000000021MY,21-Jul-26,Zana,Penang,Johor,Economy,Small,0.81,17,18,10,8
JEN1000000022MY,21-Jul-26,Zana,Sabah,Kelantan,Economy,Small,0.14,20,14,5,8
JEN1000000023MY,21-Jul-26,Siti,Penang,Selangor,Economy,Small,0.26,22,11,10,8
JEN1000000024MY,21-Jul-26,Hafiz,Johor,Kelantan,Economy,Small,1.9,17,14,10,8
JEN1000000025MY,21-Jul-26,Raj,Sarawak,Penang,Economy,Small,1.86,18,14,8,8
JEN1000000026MY,21-Jul-26,Raj,Kelantan,Pahang,Economy,Small,0.96,18,13,3,8
JEN1000000027MY,21-Jul-26,Zana,WPKL,Pahang,Economy,Small,0.54,18,10,3,8
JEN1000000028MY,21-Jul-26,Lim,Penang,Selangor,Economy,Small,1.82,20,11,10,8
JEN1000000029MY,21-Jul-26,Lim,Perak,Kelantan,Economy,Small,0.51,17,19,9,8
JEN1000000030MY,21-Jul-26,Raj,Kelantan,Sarawak,Economy,Small,0.46,16,20,8,8
JEN1000000031MY,21-Jul-26,Zana,Sarawak,Sarawak,Economy,Small,0.99,15,20,3,8
JEN1000000032MY,21-Jul-26,Lim,Sarawak,Sabah,Economy,Small,1.62,16,13,5,8
JEN1000000033MY,21-Jul-26,Lim,Pahang,Kelantan,Economy,Small,0.37,17,14,9,8
JEN1000000034MY,21-Jul-26,Aina,Selangor,Kelantan,Economy,Small,1.64,23,11,2,8
JEN1000000035MY,21-Jul-26,Lee,WPKL,Selangor,Economy,Small,1.86,18,12,8,8
JEN1000000036MY,21-Jul-26,Zana,Kelantan,Penang,Economy,Small,1.74,15,12,8,8
JEN1000000037MY,21-Jul-26,Aina,Sarawak,Perak,Economy,Small,1.86,22,14,8,8
JEN1000000038MY,21-Jul-26,Zana,Kelantan,Johor,Economy,Small,0.46,18,10,10,8
JEN1000000039MY,21-Jul-26,Siti,Sabah,WPKL,Economy,Small,0.2,22,18,10,8
JEN1000000040MY,21-Jul-26,Lim,WPKL,Pahang,Economy,Small,0.25,17,11,3,8
JEN1000000041MY,21-Jul-26,Hafiz,Sarawak,Selangor,Economy,Small,1.89,24,13,2,8
JEN1000000042MY,21-Jul-26,Tan,Selangor,Sarawak,Economy,Small,1.35,24,18,7,8
JEN1000000043MY,21-Jul-26,Lee,Penang,Sabah,Economy,Small,0.55,21,12,6,8
JEN1000000044MY,21-Jul-26,Ahmad,Sabah,Selangor,Economy,Small,0.12,24,19,3,8
JEN1000000045MY,21-Jul-26,Lim,Pahang,Penang,Economy,Small,1.06,17,15,3,8
JEN1000000046MY,21-Jul-26,Zana,Sabah,Perak,Economy,Small,0.4,23,14,10,8
JEN1000000047MY,21-Jul-26,Ahmad,Pahang,Perak,Economy,Small,1.87,16,12,6,8
JEN1000000048MY,21-Jul-26,Raj,Selangor,Pahang,Economy,Small,0.4,19,19,5,8
JEN1000000049MY,21-Jul-26,Nurul,Penang,Perak,Economy,Small,1.06,19,10,3,8
JEN1000000050MY,21-Jul-26,Siti,Perak,WPKL,Economy,Small,0.11,17,20,6,8
JEN1000000051MY,21-Jul-26,Ahmad,Kelantan,Pahang,Economy,Small,1.44,23,10,3,8
JEN1000000052MY,21-Jul-26,Siti,Johor,Pahang,Economy,Small,0.17,20,19,10,8
JEN1000000053MY,21-Jul-26,Lim,Sarawak,Johor,Economy,Small,0.18,20,10,7,8
JEN1000000054MY,21-Jul-26,Lim,Penang,Selangor,Economy,Small,0.77,23,16,4,8
JEN1000000055MY,21-Jul-26,Nurul,Johor,Johor,Economy,Small,1.77,15,12,7,8
JEN1000000056MY,21-Jul-26,Lee,Penang,Perak,Economy,Small,0.4,16,16,2,8
JEN1000000057MY,21-Jul-26,Lim,Penang,Penang,Economy,Small,1.65,22,15,6,8
JEN1000000058MY,21-Jul-26,Ahmad,Penang,WPKL,Economy,Small,1.35,21,15,6,8
JEN1000000059MY,21-Jul-26,Raj,Perak,Sabah,Economy,Small,1.32,21,20,10,8
JEN1000000060MY,21-Jul-26,Zana,WPKL,Selangor,Economy,Small,1.77,19,12,6,8
JEN1000000061MY,21-Jul-26,Ahmad,Selangor,Sarawak,Economy,Small,0.76,20,16,10,8
JEN1000000062MY,21-Jul-26,Aina,Sarawak,Penang,Economy,Small,0.58,21,10,10,8
JEN1000000063MY,21-Jul-26,Ahmad,Penang,Sabah,Economy,Small,0.92,25,15,7,8
JEN1000000064MY,21-Jul-26,Tan,Perak,Pahang,Economy,Small,0.69,21,15,8,8
JEN1000000065MY,21-Jul-26,Hafiz,Pahang,Johor,Economy,Small,0.46,25,16,4,8
JEN1000000066MY,21-Jul-26,Lim,Perak,Sarawak,Economy,Small,1.14,15,14,6,8
JEN1000000067MY,21-Jul-26,Aina,Sarawak,Sabah,Economy,Small,0.98,22,20,5,8
JEN1000000068MY,21-Jul-26,Ahmad,Kelantan,Johor,Economy,Small,1.35,19,18,7,8
JEN1000000069MY,21-Jul-26,Zana,Penang,Perak,Economy,Small,0.53,18,12,2,8
JEN1000000070MY,21-Jul-26,Hafiz,Penang,Kelantan,Economy,Small,1.26,16,17,8,8
JEN1000000071MY,21-Jul-26,Ahmad,Penang,Sarawak,Economy,Small,1.04,18,12,2,8
JEN1000000072MY,21-Jul-26,Aina,Sarawak,Penang,Economy,Small,0.43,23,17,2,8
JEN1000000073MY,21-Jul-26,Aina,Penang,Selangor,Economy,Small,0.97,22,20,10,8
JEN1000000074MY,21-Jul-26,Lee,Sabah,Kelantan,Economy,Small,1.26,23,16,10,8
JEN1000000075MY,21-Jul-26,Aina,Johor,Kelantan,Economy,Small,0.96,18,20,6,8
JEN1000000076MY,21-Jul-26,Tan,Kelantan,Penang,Economy,Small,0.62,16,14,5,8
JEN1000000077MY,21-Jul-26,Lim,Sabah,Sabah,Economy,Small,1.8,16,12,4,8
JEN1000000078MY,21-Jul-26,Raj,Sarawak,Johor,Economy,Small,1.44,16,16,8,8
JEN1000000079MY,21-Jul-26,Hafiz,Pahang,Kelantan,Economy,Small,0.89,18,16,8,8
JEN1000000080MY,21-Jul-26,Nurul,WPKL,Sarawak,Economy,Small,1.01,20,14,8,8
JEN1000000081MY,21-Jul-26,Tan,Pahang,Pahang,Economy,Small,1.62,18,17,5,8
JEN1000000082MY,21-Jul-26,Siti,Sarawak,Kelantan,Economy,Small,0.16,20,20,8,8
JEN1000000083MY,21-Jul-26,Hafiz,Kelantan,Johor,Economy,Small,1.96,23,10,8,8
JEN1000000084MY,21-Jul-26,Zana,WPKL,Selangor,Economy,Small,1.32,17,17,4,8
JEN1000000085MY,21-Jul-26,Nurul,Perak,Sarawak,Economy,Small,0.72,22,15,7,8
JEN1000000086MY,21-Jul-26,Aina,Perak,Sarawak,Economy,Small,0.58,16,17,2,8
JEN1000000087MY,21-Jul-26,Zana,WPKL,Sabah,Economy,Small,0.53,16,20,2,8
JEN1000000088MY,21-Jul-26,Siti,Penang,Penang,Economy,Small,1.69,24,12,5,8
JEN1000000089MY,21-Jul-26,Raj,Kelantan,Selangor,Economy,Small,1.17,18,17,6,8
JEN1000000090MY,21-Jul-26,Hafiz,Johor,Selangor,Economy,Small,1.58,17,14,3,8
JEN1000000091MY,21-Jul-26,Ahmad,WPKL,Perak,Economy,Small,1.19,21,16,5,8
JEN1000000092MY,21-Jul-26,Hafiz,Penang,Selangor,Economy,Small,1.42,19,20,3,8
JEN1000000093MY,21-Jul-26,Aina,WPKL,Sabah,Economy,Small,1.11,25,15,3,8
JEN1000000094MY,21-Jul-26,Raj,Sabah,WPKL,Economy,Small,1.71,22,11,8,8
JEN1000000095MY,21-Jul-26,Hafiz,Kelantan,Johor,Economy,Small,0.93,23,20,6,8
JEN1000000096MY,21-Jul-26,Lim,Pahang,Kelantan,Economy,Small,0.98,24,14,7,8
JEN1000000097MY,21-Jul-26,Raj,Selangor,Perak,Economy,Small,1.78,18,17,8,8
JEN1000000098MY,21-Jul-26,Raj,WPKL,Kelantan,Economy,Small,1.72,17,17,5,8
JEN1000000099MY,21-Jul-26,Zana,Perak,Sabah,Economy,Small,0.63,24,14,10,8
JEN1000000100MY,21-Jul-26,Lim,Pahang,Penang,Economy,Small,0.26,21,17,10,8
JEN1000000101MY,21-Jul-26,Lim,Kelantan,Kelantan,Economy,Small,0.95,15,11,6,8
JEN1000000102MY,21-Jul-26,Aina,Sarawak,Penang,Economy,Small,0.68,24,15,9,8
